16006: TaskCorrectCourse::CorrectCourse: dt=0.101, w0=-0.032, wz=-0.120, w1=-0.036, h0=-0.217, h1=-0.220, ei=4.519, correction=0
16110: TaskCorrectCourse::CorrectCourse: dt=0.105, w0=-0.036, wz=-0.683, w1=-0.068, h0=-0.220, h1=-0.227, ei=4.747, correction=0
16216: TaskCorrectCourse::CorrectCourse: dt=0.104, w0=-0.068, wz=-0.370, w1=-0.083, h0=-0.227, h1=-0.236, ei=4.983, correction=0
16325: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=-0.083, wz=-1.182, w1=-0.138, h0=-0.236, h1=-0.251, ei=5.234, correction=0
16435: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-0.138, wz=-7.120, w1=-0.488, h0=-0.251, h1=-0.305, ei=5.539, correction=0
16543: TaskCorrectCourse::CorrectCourse: dt=0.109, w0=-0.488, wz=-5.558, w1=-0.741, h0=-0.305, h1=-0.386, ei=5.925, correction=0
16647: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-0.741, wz=-3.870, w1=-0.897, h0=-0.386, h1=-0.478, ei=6.403, correction=0
16749: TaskCorrectCourse::CorrectCourse: dt=0.101, w0=-0.897, wz=-1.307, w1=-0.918, h0=-0.478, h1=-0.571, ei=6.974, correction=0
16848: TaskCorrectCourse::CorrectCourse: dt=0.100, w0=-0.918, wz=-0.245, w1=-0.884, h0=-0.571, h1=-0.659, ei=7.633, correction=0
16955: TaskCorrectCourse::CorrectCourse: dt=0.107, w0=-0.884, wz=-2.995, w1=-0.990, h0=-0.659, h1=-0.765, ei=8.399, correction=0
17058: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-0.990, wz=-1.557, w1=-1.018, h0=-0.765, h1=-0.870, ei=9.269, correction=0
17161: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=-1.018, wz=0.005, w1=-0.967, h0=-0.870, h1=-0.969, ei=10.238, correction=0
17271: TaskCorrectCourse::CorrectCourse: dt=0.110, w0=-0.967, wz=-1.495, w1=-0.993, h0=-0.969, h1=-1.078, ei=11.316, correction=0
17381: TaskCorrectCourse::CorrectCourse: dt=0.111, w0=-0.993, wz=-2.307, w1=-1.059, h0=-1.078, h1=-1.196, ei=12.511, correction=0
17489: TaskCorrectCourse::CorrectCourse: dt=0.109, w0=-1.059, wz=-0.245, w1=-1.018, h0=-1.196, h1=-1.307, ei=13.818, correction=0
17594: TaskCorrectCourse::CorrectCourse: dt=0.103, w0=-1.018, wz=-0.307, w1=-0.983, h0=-1.307, h1=-1.408, ei=15.226, correction=0
17696: TaskCorrectCourse::CorrectCourse: dt=0.102, w0=-0.983, wz=-0.558, w1=-0.962, h0=-1.408, h1=-1.506, ei=16.732, correction=0
